1,1866
2,1866
3,1866
4,1866
5,1866
6,1866
7,1862
8,1830
9,1830
10,1830
11,1830
12,1830
13,1830
14,1830
15,1830
16,1830
17,1830
18,1830
19,1806
20,1806
21,1806
22,1806
23,1806
24,1806
25,1806
26,1806
27,1806
28,1752
29,1752
30,1752
31,1752
32,1752
33,1752
34,1752
35,1752
36,1752
37,1752
38,1752
39,1752
40,1752
41,1752
42,1752
43,1752
44,1752
45,1752
46,1752
47,1752
48,1752
49,1752
50,1752
51,1752
52,1752
53,1752
54,1752
55,1752
56,1752
57,1752
58,1752
59,1752
60,1752
61,1752
62,1752
63,1752
64,1752
65,1752
66,1752
67,1752
68,1752
69,1752
70,1752
71,1752
72,1752
73,1752
74,1752
75,1752
76,1752
77,1752
78,1752
79,1752
80,1752
81,1752
82,1752
83,1752
84,1752
85,1752
86,1752
87,1752
88,1752
89,1752
90,1752
91,1752
92,1752
93,1752
94,1752
95,1752
96,1752
97,1752
98,1752
99,1752
100,1752
101,1752
102,1752
103,1752
104,1752
105,1752
106,1752
107,1752
108,1752
109,1752
110,1752
111,1752
112,1752
113,1752
114,1752
115,1752
116,1752
117,1752
118,1752
119,1752
120,1752
121,1752
122,1752
123,1752
124,1752
125,1752
126,1752
127,1752
128,1752
129,1752
130,1752
131,1752
132,1752
133,1752
134,1752
135,1752
136,1752
137,1752
138,1752
139,1752
140,1752
141,1752
142,1752
143,1752
144,1752
145,1752
146,1752
147,1752
148,1752
149,1752
150,1752
151,1752
152,1752
153,1752
154,1752
155,1752
156,1752
157,1752
158,1752
159,1752
160,1752
161,1752
162,1752
163,1752
164,1752
165,1752
166,1752
167,1752
168,1752
169,1752
170,1752
171,1752
172,1752
173,1752
174,1752
175,1752
176,1752
177,1752
178,1752
179,1752
180,1752
181,1752
182,1752
183,1752
184,1752
185,1752
186,1752
187,1752
188,1752
189,1752
190,1752
191,1752
192,1752
193,1752
194,1752
195,1752
196,1752
197,1752
198,1752
199,1752
200,1752
201,1752
202,1752
203,1752
204,1752
205,1752
206,1752
207,1752
208,1752
209,1752
210,1752
211,1752
212,1752
213,1752
214,1752
215,1752
216,1752
217,1752
218,1752
219,1752
220,1752
221,1752
222,1752
223,1752
224,1752
225,1752
226,1752
227,1752
228,1752
229,1752
230,1752
231,1752
232,1752
233,1752
234,1752
235,1752
236,1752
237,1752
238,1752
239,1752
240,1752
241,1752
242,1752
243,1752
244,1752
245,1752
246,1752
247,1752
248,1752
249,1752
250,1752
251,1752
252,1752
253,1752
254,1752
255,1752
256,1752
257,1752
258,1752
259,1752
260,1752
261,1752
262,1752
263,1752
264,1752
265,1752
266,1752
267,1752
268,1752
269,1752
270,1752
271,1752
272,1752
273,1752
274,1752
275,1752
276,1752
277,1752
278,1752
279,1752
280,1752
281,1752
282,1752
283,1752
284,1752
285,1752
286,1752
287,1752
288,1752
289,1752
290,1752
291,1752
292,1752
